ID,Fecha,Recorrido,Porte,pesos,Kilometros,Combustible,Conductor,Mozo1,Mozo2,Ingresos diarios,Averia
1,2023-11-15 05:08:28,13/69,primer porte,1191,182,51,"['Laura', 'Gomez']","['Laura', 'Gomez']","['Laura', 'Gomez']",8586,no
2,2018-05-10 15:22:54,11/64,primer porte,10360,157,76,"['Marta', 'Lopez']","['Marta', 'Lopez']","['Marta', 'Lopez']",8206,si
3,2021-06-04 00:41:34,13/78,primer porte,7011,24,19,"['Ana', 'Perez']","['Ana', 'Perez']","['Ana', 'Perez']",5081,si
4,2017-11-18 11:57:24,13/91,primer porte,12279,126,98,"['Diego', 'Garcia']","['Diego', 'Garcia']","['Diego', 'Garcia']",9387,si
5,2021-12-17 14:55:16,11/66,segundo porte,3590,147,56,"['Sofia', 'Perez']","['Sofia', 'Perez']","['Sofia', 'Perez']",2140,no
6,2026-06-24 07:39:39,11/63,primer porte,13480,236,62,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",9987,no
7,2020-12-30 03:59:28,17/53,primer porte,8062,154,60,"['Laura', 'Rodriguez']","['Laura', 'Rodriguez']","['Laura', 'Rodriguez']",2979,si
8,2024-01-04 05:06:38,11/66,segundo porte,14259,117,23,"['Carlos', 'Fernandez']","['Carlos', 'Fernandez']","['Carlos', 'Fernandez']",5961,no
9,2022-06-03 01:14:06,13/72,segundo porte,8442,102,31,"['Carlos', 'Martinez']","['Carlos', 'Martinez']","['Carlos', 'Martinez']",2647,no
10,2019-02-23 12:05:55,13/87,primer porte,2687,163,65,"['Sofia', 'Gomez']","['Sofia', 'Gomez']","['Sofia', 'Gomez']",5169,si
11,2019-10-09 07:08:07,13/73,primer porte,11672,84,65,"['Laura', 'Fernandez']","['Laura', 'Fernandez']","['Laura', 'Fernandez']",5692,no
12,2019-05-23 12:18:33,13/70,primer porte,13935,113,18,"['Marta', 'Rodriguez']","['Marta', 'Rodriguez']","['Marta', 'Rodriguez']",2868,si
13,2022-06-10 16:51:39,13/89,segundo porte,14212,221,39,"['Laura', 'Gomez']","['Laura', 'Gomez']","['Laura', 'Gomez']",2653,si
14,2023-03-08 03:03:10,18/62,primer porte,9684,36,75,"['Laura', 'Gomez']","['Laura', 'Gomez']","['Laura', 'Gomez']",5082,si
15,2019-12-06 04:10:35,11/65,primer porte,3640,202,11,"['Ana', 'Sanchez']","['Ana', 'Sanchez']","['Ana', 'Sanchez']",2818,no
16,2019-06-09 05:22:30,13/90,segundo porte,7879,181,14,"['Pedro', 'Martinez']","['Pedro', 'Martinez']","['Pedro', 'Martinez']",3114,no
17,2021-04-28 07:28:08,11/67,segundo porte,11068,132,95,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",9054,si
18,2022-09-03 14:20:42,17/56,segundo porte,5947,195,20,"['Laura', 'Martinez']","['Laura', 'Martinez']","['Laura', 'Martinez']",2178,si
19,2023-09-13 08:09:56,11/65,primer porte,3032,165,62,"['Marta', 'Gomez']","['Marta', 'Gomez']","['Marta', 'Gomez']",5058,si
20,2026-04-04 13:42:11,13/68,segundo porte,8413,100,76,"['Laura', 'Garcia']","['Laura', 'Garcia']","['Laura', 'Garcia']",3473,si
21,2023-05-16 04:25:24,13/75,segundo porte,14906,41,92,"['Luis', 'Martinez']","['Luis', 'Martinez']","['Luis', 'Martinez']",8410,si
22,2021-12-08 04:35:52,13/86,segundo porte,8953,105,32,"['Laura', 'Gomez']","['Laura', 'Gomez']","['Laura', 'Gomez']",4313,no
23,2017-09-10 07:09:00,11/65,primer porte,3740,116,34,"['Carlos', 'Sanchez']","['Carlos', 'Sanchez']","['Carlos', 'Sanchez']",2167,si
24,2025-10-04 13:53:06,13/80,segundo porte,14311,21,42,"['Luis', 'Gomez']","['Luis', 'Gomez']","['Luis', 'Gomez']",7365,si
25,2018-09-28 13:52:59,18/62,segundo porte,462,52,48,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",4241,no
26,2021-08-24 16:09:36,13/89,segundo porte,9955,79,16,"['Juan', 'Rodriguez']","['Juan', 'Rodriguez']","['Juan', 'Rodriguez']",9983,no
27,2025-03-02 14:42:17,13/87,segundo porte,12138,233,91,"['Laura', 'Garcia']","['Laura', 'Garcia']","['Laura', 'Garcia']",4776,si
28,2018-07-04 01:36:05,18/58,primer porte,1419,108,62,"['Ana', 'Lopez']","['Ana', 'Lopez']","['Ana', 'Lopez']",2797,no
29,2023-05-30 21:55:28,13/74,primer porte,9774,72,28,"['Juan', 'Rodriguez']","['Juan', 'Rodriguez']","['Juan', 'Rodriguez']",9005,si
30,2023-05-23 08:36:24,13/78,segundo porte,6218,110,30,"['Juan', 'Gomez']","['Juan', 'Gomez']","['Juan', 'Gomez']",5794,no
31,2022-02-09 15:09:39,02/99,segundo porte,2868,156,48,"['Carlos', 'Gomez']","['Carlos', 'Gomez']","['Carlos', 'Gomez']",7662,si
32,2023-08-07 13:56:25,13/81,primer porte,9671,39,81,"['Laura', 'Perez']","['Laura', 'Perez']","['Laura', 'Perez']",6211,no
33,2022-09-04 23:08:43,17/56,segundo porte,7688,246,89,"['Diego', 'Perez']","['Diego', 'Perez']","['Diego', 'Perez']",3407,si
34,2019-06-25 18:25:56,13/91,segundo porte,12900,110,13,"['Juan', 'Sanchez']","['Juan', 'Sanchez']","['Juan', 'Sanchez']",7052,no
35,2020-09-20 12:16:14,13/86,primer porte,9121,163,90,"['Luis', 'Rodriguez']","['Luis', 'Rodriguez']","['Luis', 'Rodriguez']",7145,si
36,2026-10-22 19:32:24,13/84,segundo porte,7333,232,87,"['Maria', 'Rodriguez']","['Maria', 'Rodriguez']","['Maria', 'Rodriguez']",9907,si
37,2018-07-31 08:08:16,13/75,primer porte,3330,238,86,"['Juan', 'Gomez']","['Juan', 'Gomez']","['Juan', 'Gomez']",7316,no
38,2018-04-26 01:32:04,02/99,primer porte,11868,49,52,"['Maria', 'Garcia']","['Maria', 'Garcia']","['Maria', 'Garcia']",8902,si
39,2019-11-15 06:37:07,02/98,segundo porte,1336,187,81,"['Laura', 'Garcia']","['Laura', 'Garcia']","['Laura', 'Garcia']",8143,si
40,2022-12-03 20:39:10,18/61,primer porte,7181,124,68,"['Sofia', 'Fernandez']","['Sofia', 'Fernandez']","['Sofia', 'Fernandez']",3503,no
41,2022-03-23 15:07:31,02/98,segundo porte,6804,28,24,"['Maria', 'Sanchez']","['Maria', 'Sanchez']","['Maria', 'Sanchez']",2438,si
42,2026-08-19 16:38:18,13/68,segundo porte,3752,64,79,"['Laura', 'Perez']","['Laura', 'Perez']","['Laura', 'Perez']",2162,si
43,2025-06-14 17:07:08,11/67,segundo porte,3935,120,10,"['Diego', 'Perez']","['Diego', 'Perez']","['Diego', 'Perez']",2645,no
44,2026-01-23 03:59:14,13/83,segundo porte,10991,195,10,"['Laura', 'Garcia']","['Laura', 'Garcia']","['Laura', 'Garcia']",5347,si
45,2024-10-14 20:25:04,17/57,segundo porte,6020,167,33,"['Sofia', 'Gomez']","['Sofia', 'Gomez']","['Sofia', 'Gomez']",4484,no
46,2024-01-02 02:54:38,13/91,segundo porte,14701,87,87,"['Diego', 'Gomez']","['Diego', 'Gomez']","['Diego', 'Gomez']",7494,si
47,2024-02-15 11:59:17,13/75,primer porte,5495,141,43,"['Maria', 'Perez']","['Maria', 'Perez']","['Maria', 'Perez']",3133,si
48,2019-06-19 06:13:41,13/83,primer porte,801,210,29,"['Maria', 'Fernandez']","['Maria', 'Fernandez']","['Maria', 'Fernandez']",3389,si
49,2019-10-14 06:27:45,13/87,segundo porte,12832,197,87,"['Carlos', 'Lopez']","['Carlos', 'Lopez']","['Carlos', 'Lopez']",7442,no
50,2022-04-26 16:49:12,13/69,segundo porte,6779,42,57,"['Juan', 'Garcia']","['Juan', 'Garcia']","['Juan', 'Garcia']",8238,si
51,2017-08-12 06:29:16,17/55,primer porte,673,76,61,"['Juan', 'Lopez']","['Juan', 'Lopez']","['Juan', 'Lopez']",7843,si
52,2025-09-18 11:25:04,13/88,segundo porte,1056,79,21,"['Sofia', 'Martinez']","['Sofia', 'Martinez']","['Sofia', 'Martinez']",4826,no
53,2017-11-18 18:37:39,13/85,primer porte,10428,153,63,"['Carlos', 'Sanchez']","['Carlos', 'Sanchez']","['Carlos', 'Sanchez']",2400,si
54,2026-02-21 13:04:22,13/70,segundo porte,1639,35,34,"['Pedro', 'Lopez']","['Pedro', 'Lopez']","['Pedro', 'Lopez']",8120,no
55,2017-07-19 08:20:02,13/92,primer porte,5025,176,76,"['Pedro', 'Perez']","['Pedro', 'Perez']","['Pedro', 'Perez']",7303,no
56,2017-12-31 13:03:46,13/79,primer porte,8646,29,96,"['Juan', 'Fernandez']","['Juan', 'Fernandez']","['Juan', 'Fernandez']",7716,no
57,2021-08-28 01:30:21,13/95,segundo porte,9459,241,90,"['Marta', 'Fernandez']","['Marta', 'Fernandez']","['Marta', 'Fernandez']",3457,no
58,2020-10-25 00:29:03,13/74,segundo porte,4883,175,92,"['Ana', 'Sanchez']","['Ana', 'Sanchez']","['Ana', 'Sanchez']",7912,si
59,2024-02-14 20:09:19,13/92,primer porte,8996,17,84,"['Pedro', 'Rodriguez']","['Pedro', 'Rodriguez']","['Pedro', 'Rodriguez']",5191,si
60,2026-12-07 02:35:26,02/100,segundo porte,2194,182,48,"['Maria', 'Rodriguez']","['Maria', 'Rodriguez']","['Maria', 'Rodriguez']",2946,si
61,2023-05-26 20:52:37,13/83,segundo porte,14718,140,20,"['Juan', 'Fernandez']","['Juan', 'Fernandez']","['Juan', 'Fernandez']",7871,si
62,2020-03-06 11:43:55,13/80,segundo porte,12748,34,62,"['Maria', 'Perez']","['Maria', 'Perez']","['Maria', 'Perez']",8238,no
63,2022-02-27 13:29:57,18/62,primer porte,8742,34,48,"['Laura', 'Fernandez']","['Laura', 'Fernandez']","['Laura', 'Fernandez']",8868,si
64,2022-04-16 00:09:27,13/79,segundo porte,2507,120,92,"['Carlos', 'Perez']","['Carlos', 'Perez']","['Carlos', 'Perez']",2044,si
65,2021-11-11 23:20:39,13/92,segundo porte,3399,235,69,"['Ana', 'Martinez']","['Ana', 'Martinez']","['Ana', 'Martinez']",2654,no
66,2021-02-28 22:43:18,13/88,primer porte,2343,223,64,"['Laura', 'Rodriguez']","['Laura', 'Rodriguez']","['Laura', 'Rodriguez']",8097,si
67,2024-01-16 01:32:46,13/73,segundo porte,5884,216,50,"['Sofia', 'Lopez']","['Sofia', 'Lopez']","['Sofia', 'Lopez']",5114,no
